8626;3507;869
8627;3591;1044
8628;3569;1218
8629;3505;1402
8630;3413;1635
8631;3232;1883
8632;3040;2136
8633;2779;2401
8634;2494;2661
8635;2282;2962
8636;2049;3191
8637;1769;3369
8638;1494;3517
8639;1271;3658
8640;1075;3747
8641;917;3779
8642;732;3771
8643;582;3733
8644;503;3626
8645;484;3481
8646;521;3269
8647;598;3019
8648;727;2761
8649;891;2473
8650;1055;2157
8651;1304;1887
8652;1592;1635
8653;1887;1360
8654;2149;1083
8655;2451;876
8656;2734;725
8657;3007;628
8658;3216;586
8659;3397;608
8660;3519;685
8661;3601;820
8662;3604;1017
8663;3554;1248
8664;3450;1497
8665;3252;1762
8666;3006;2042
8667;2741;2401
8668;2473;2726
8669;2187;2999
8670;1871;3240
8671;1553;3445
8672;1257;3616
8673;986;3727
8674;770;3779
8675;597;3758
8676;490;3656
8677;481;3472
8678;574;3215
8679;736;2877
8680;965;2442
8681;1286;2033
8682;1646;1642
8683;2041;1264
8684;2858;733
8685;3192;598
8686;3399;599
8687;3526;728
8688;3545;941
8689;3428;1235
8690;3202;1607
8691;2882;2031
8692;2514;2445
8693;2143;2849
8694;1791;3205
8695;1453;3473
8696;1176;3657
8697;734;3775
8698;565;3752
8699;512;3644
8700;502;3472
8701;572;3209
8702;695;2933
8703;872;2626
8704;1089;2306
8705;1341;1971
8706;1627;1651
8707;1935;1343
8708;2242;1083
8709;2579;871
8710;2868;699
8711;3136;618
8712;3345;576
8713;3513;628
8714;3622;716
8715;3678;870
8716;3691;1063
8717;3691;1297
8718;3531;1555
8719;3369;1822
8720;3154;2109
8721;2868;2410
8722;2583;2704
8723;2271;3028
8724;1954;3287
8725;1654;3504
8726;1351;3671
8727;1094;3789
8728;849;3849
8729;669;3815
8730;532;3746
8731;495;3593
8732;550;3357
8733;699;3055
8734;884;2704
8735;1154;2291
8736;1469;1905
8737;1819;1527
8738;2188;1193
8739;2537;924
8740;2878;729
8741;3205;634
8742;3413;599
8743;3599;658
8744;3686;795
8745;3714;997
8746;3679;1265
8747;3572;1544
8748;3378;1851
8749;3097;2178
8750;2833;2509
8751;2508;2839
8752;2164;3149
8753;1837;3419
8754;1515;3629
8755;1197;3774
8756;938;3841
8757;734;3846
8758;566;3811
8759;479;3703
8760;476;3497
8761;550;3226
8762;705;2903
8763;1184;2179
8764;1509;1803
8765;1887;1453
8766;2256;1133
8767;2611;857
8768;2940;688
8769;3228;579
8770;3455;571
8771;3600;634
8772;3691;769
8773;3723;954
8774;3690;1189
8775;3574;1448
8776;3379;1752
8777;3138;2054
8778;2846;2379
8779;2533;2713
8780;2212;3022
8781;1886;3283
8782;1570;3504
8783;1279;3669
8784;1029;3777
8785;795;3809
8786;618;3793
8787;513;3730
8788;476;3554
8789;525;3327
8790;645;3019
8791;820;2701
8792;1073;2334
8793;1343;1973
8794;1667;1623
8795;2004;1297
8796;2337;1016
8797;2679;793
8798;3014;654
8799;3293;569
8800;3508;568
8801;3661;650
8802;3747;797
8803;3780;999
8804;3752;1238
8805;3651;1511
8806;3484;1809
8807;3245;2112
8808;2953;2448
8809;2606;2787
8810;2223;3099
8811;1872;3379
8812;1534;3622
8813;1220;3781
8814;959;3841
8815;715;3853
8816;549;3823
8817;468;3707
8818;491;3493
8819;602;3195
8820;795;2838
8821;1094;2450
8822;1410;2036
8823;1765;1649
8824;2155;1245
8825;2520;948
8826;2881;717
8827;3203;586
8828;3449;567
8829;3653;624
8830;3722;768
8831;3754;982
8832;3700;1248
8833;3574;1541
8834;3377;1863
8835;3117;2239
8836;2801;2582
8837;2474;2914
8838;2132;3226
8839;1793;3490
8840;1485;3680
8841;1181;3817
8842;931;3859
8843;678;3857
8844;540;3826
8845;465;3713
8846;482;3479
8847;583;3191
8848;748;2857
8849;993;2491
8850;1283;2110
8851;1601;1738
8852;1958;1374
8853;2301;1067
8854;2650;830
8855;3007;639
8856;3282;567
8857;3504;553
8858;3658;639
8859;3749;778
8860;3778;976
8861;3749;1217
8862;3619;1485
8863;3485;1797
